AreaCode,AreaName,AreaType
S01008502,Shandon - 01,Data Zones
S01008503,Shandon - 02,Data Zones
S01008500,Gorgie East - 04,Data Zones
S01008501,Gorgie East - 05,Data Zones
S01008506,Shandon - 05,Data Zones
S01008507,Shandon - 06,Data Zones
S01008504,Shandon - 03,Data Zones
S01008505,Shandon - 04,Data Zones
S01008495,Gorgie West - 04,Data Zones
S01008496,Gorgie West - 05,Data Zones
S01008493,Gorgie West - 02,Data Zones
S01008494,Gorgie West - 03,Data Zones
S01008498,Gorgie East - 02,Data Zones
S01008499,Gorgie East - 03,Data Zones
S01008497,Gorgie East - 01,Data Zones
S01008517,Morningside and Craighouse - 04,Data Zones
S01008518,Morningside and Craighouse - 05,Data Zones
S01008515,Morningside and Craighouse - 02,Data Zones
S01008516,Morningside and Craighouse - 03,Data Zones
S01008521,Greenbank and The Braids - 03,Data Zones
S01008522,Greenbank and The Braids - 04,Data Zones
S01008519,Greenbank and The Braids - 01,Data Zones
S01008520,Greenbank and The Braids - 02,Data Zones
S01008510,Craiglockhart - 03,Data Zones
S01008511,Craiglockhart - 04,Data Zones
S01008508,Craiglockhart - 01,Data Zones
S01008509,Craiglockhart - 02,Data Zones
S01008513,Craiglockhart - 06,Data Zones
S01008514,Morningside and Craighouse - 01,Data Zones
S01008512,Craiglockhart - 05,Data Zones
S01008473,Stenhouse and Saughton Mains - 01,Data Zones
S01008474,Stenhouse and Saughton Mains - 02,Data Zones
S01008470,Broomhouse and Bankhead - 03,Data Zones
S01008472,Broomhouse and Bankhead - 05,Data Zones
S01008477,Stenhouse and Saughton Mains - 05,Data Zones
S01008478,Stenhouse and Saughton Mains - 06,Data Zones
S01008475,Stenhouse and Saughton Mains - 03,Data Zones
S01008476,Stenhouse and Saughton Mains - 04,Data Zones
S01008465,Parkhead and Sighthill - 02,Data Zones
S01008466,Parkhead and Sighthill - 03,Data Zones
S01008463,Murrayburn and Wester Hailes North - 05,Data Zones
S01008464,Parkhead and Sighthill - 01,Data Zones
S01008468,Broomhouse and Bankhead - 01,Data Zones
S01008469,Broomhouse and Bankhead - 02,Data Zones
S01008467,Parkhead and Sighthill - 04,Data Zones
S01008488,Slateford and Chesser - 03,Data Zones
S01008489,Slateford and Chesser - 04,Data Zones
S01008486,Slateford and Chesser - 01,Data Zones
S01008487,Slateford and Chesser - 02,Data Zones
S01008491,Slateford and Chesser - 06,Data Zones
S01008492,Gorgie West - 01,Data Zones
S01008490,Slateford and Chesser - 05,Data Zones
S01008481,Longstone and Saughton - 01,Data Zones
S01008482,Longstone and Saughton - 02,Data Zones
S01008479,Stenhouse and Saughton Mains - 07,Data Zones
S01008480,Stenhouse and Saughton Mains - 08,Data Zones
S01008484,Longstone and Saughton - 04,Data Zones
S01008485,Longstone and Saughton - 05,Data Zones
S01008483,Longstone and Saughton - 03,Data Zones
S01008804,Leith (Albert Street) - 03,Data Zones
S01008805,Leith (Albert Street) - 04,Data Zones
S01008802,Leith (Albert Street) - 01,Data Zones
S01008803,Leith (Albert Street) - 02,Data Zones
S01008808,Hillside and Calton Hill - 03,Data Zones
S01008809,Hillside and Calton Hill - 04,Data Zones
S01008806,Hillside and Calton Hill - 01,Data Zones
S01008807,Hillside and Calton Hill - 02,Data Zones
S01008797,South Leith - 06,Data Zones
S01008798,Easter Road and Hawkhill Avenue - 01,Data Zones
S01008795,South Leith - 04,Data Zones
S01008796,South Leith - 05,Data Zones
S01008800,Easter Road and Hawkhill Avenue - 03,Data Zones
S01008801,Easter Road and Hawkhill Avenue - 04,Data Zones
S01008799,Easter Road and Hawkhill Avenue - 02,Data Zones
S01008819,Bonnington - 03,Data Zones
S01008820,Bonnington - 04,Data Zones
S01008817,Bonnington - 01,Data Zones
S01008818,Bonnington - 02,Data Zones
S01008823,Trinity East and The Dudleys - 03,Data Zones
S01008824,Trinity East and The Dudleys - 04,Data Zones
S01008821,Trinity East and The Dudleys - 01,Data Zones
S01008822,Trinity East and The Dudleys - 02,Data Zones
S01008812,Hillside and Calton Hill - 07,Data Zones
S01008813,Pilrig - 01,Data Zones
S01008810,Hillside and Calton Hill - 05,Data Zones
S01008811,Hillside and Calton Hill - 06,Data Zones
S01008815,Pilrig - 03,Data Zones
S01008816,Pilrig - 04,Data Zones
S01008814,Pilrig - 02,Data Zones
S01008774,North Leith and Newhaven - 03,Data Zones
S01008775,North Leith and Newhaven - 04,Data Zones
S01008772,North Leith and Newhaven - 01,Data Zones
S01008773,North Leith and Newhaven - 02,Data Zones
S01008778,The Shore and Constitution Street - 01,Data Zones
S01008779,The Shore and Constitution Street - 02,Data Zones
S01008776,North Leith and Newhaven - 05,Data Zones
S01008777,North Leith and Newhaven - 06,Data Zones
S01008767,Leith (Hermitage and Prospect Bank) - 06,Data Zones
S01008768,Western Harbour and Leith Docks - 01,Data Zones
S01008765,Leith (Hermitage and Prospect Bank) - 04,Data Zones
S01008766,Leith (Hermitage and Prospect Bank) - 05,Data Zones
S01008770,Western Harbour and Leith Docks - 03,Data Zones
S01008771,Western Harbour and Leith Docks - 04,Data Zones
S01008769,Western Harbour and Leith Docks - 02,Data Zones
S01008790,Great Junction Street - 06,Data Zones
S01008791,Great Junction Street - 07,Data Zones
S01008788,Great Junction Street - 04,Data Zones
S01008789,Great Junction Street - 05,Data Zones
